id	slope	elevation	tpi	twi	coarse	stream
402	3.481709	474.2614	25.85493	0.678836	11.4697	73.608
403	2.635336	491.5303	27.1434	1.093939	11.42403	67.764
404	3.598714	529.3239	21.24205	0.727951	12.52414	68.9935
405	3.716115	545.8973	25.46004	0.584118	14.31658	72.2342
406	5.272047	352.1962	23.91817	-0.01133	11.16389	33.3242
407	3.802616	597.1885	21.78088	0.317493	14.40503	58.3267
408	3.518874	658.6229	24.4542	0.235247	13.71429	54.422
409	3.725597	595.5818	20.47855	0.321509	14.86275	59.6814
410	3.556386	559.9316	24.43076	0.728079	14.59302	54.0034
411	2.101721	435.2734	28.13454	1.524793	9.33547	75.8527
412	2.77939	449.727	26.86744	0.026311	10.67391	43.434
413	1.982517	199.5304	31.86521	2.165116	6.951724	64.8467
414	4.544964	463.676	24.03388	0.388735	10.25455	64.5636
415	9.586267	635.2568	9.724314	-0.4803	15.34513	49.4325
416	3.405856	543.8373	27.03956	0.135172	13.88235	32.6066
417	7.600657	473.4148	15.36524	0.072834	13.75248	78.1262
418	7.503331	432.0986	13.27844	-0.13965	13.40201	58.99
419	5.802275	509.0557	18.70902	-0.21112	14.06579	60.0734
420	4.65058	558.4027	16.94538	-0.29838	14.57831	22.3606
421	5.529367	428.1187	17.76268	0.889078	10.82243	80.1019
422	4.328573	485.2991	23.72428	0.605139	11.42957	63.6857
423	3.809374	525.65	23.68333	0.068176	11.89855	51.5377
424	3.339409	540.3617	23.56672	0.91417	13.39286	83.8144
425	6.053792	407.5748	18.5675	0.853648	12.9	74.5665
426	5.698458	391.596	18.90321	1.315008	12.54286	66.0052
427	7.570659	454.521	19.43371	-0.07762	13.81818	34.3138
428	3.662417	398.6546	24.36836	1.074082	11.14085	73.5223
429	6.901554	563.733	17.6219	-0.31713	14.35965	67.8603
430	3.06061	362.8042	25.86728	0.584667	9.789954	44.8396
431	4.982357	572.2748	22.01675	0.342788	13.64151	69.2183
432	3.055673	241.0096	22.35302	0.346764	8.022989	64.4698
433	4.555303	251.2677	21.10475	0.267741	9.370079	72.2418
